word;
oc;
at;
som;
i;
den;
det;
hand;
til;
der;
er;
aff;
udi;
en;
hans;
saa;
icke;
paa;
de;
sig;
met;
for;
med;
hafuer;
sin;
effter;
h;
hannem;
vi;
vaar;
denne;
haffuer;
da;
her;
men;
s;
kunde;
alle;
n;
deris;
ved;
tid;
it;
om;
meget;
vor;
vel;
nu;
end;
sine;
eller;
aar;
være;
thi;
haffue;
oss;
haffde;
m;
all;
huad;
selff;
skal;
dette;
fra;
kand;
sit;
offver;
andre;
dog;
været;
bleff;
ocsaa;
ere;
naar;
disse;
jeg;
huor;
maa;
skulle;
verden;
vil;
nogen;
dem;
uden;
mange;
skulde;
børn;
huilcket;
dennem;
vilde;
hoss;
ingen;
mig;
huilcken;
siger;
os;
dag;
noget;
saadan;
baade;
e;
huer;
jo;
ville;
allene;
derfor;
anden;
faare;
saadanne;
lige;
effterdi;
huilcke;
iblant;
imod;
rc;
see;
maade;
naffn;
saaledis;
siden;
hos;
sige;
synderlig;
hafue;
død;
lod;
giøre;
riger;
din;
lande;
fryct;
ieg;
intet;
maatte;
menniske;
under;
altid;
liff;
min;
nogle;
skyld;
aarsag;
alt;
gaat;
gantske;
giort;
ja;
komme;
rette;
gandske;
aand;
ladet;
land;
leffnet;
af;
aldrig;
indtil;
samme;
bedre;
bliffue;
hen;
vore;
skee;
langt;
ja;
1;
2;
3;
4;
5;
6;
7;
8;
9;
met;
være;
været;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
